,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
22,A11,S1_11,17,2,259,17756,1,244,258,17512,18015,-0.53,TRUE
24,A12,S1_12,7.8,2,122,18249,0,112,122,18137,18371,-0.53,TRUE
26,B01,S2_01,5300,2,18076,202,17850,198,226,4,18278,5.38,TRUE
28,B02,S2_02,4310,2,18099,477,17597,456,502,21,18576,6.59,TRUE
30,B03,S2_03,3110,2,17562,1344,16342,1185,1220,159,18906,10.12,TRUE
32,B04,S2_04,2032,2,15723,3399,13017,2543,2706,856,19122,9.71,TRUE
34,B05,S2_05,1014,2,11016,8060,6753,4161,4263,3899,19076,7.73,TRUE
36,B06,S2_06,483,2,6701,13196,2799,4025,3902,9171,19897,7.25,TRUE
38,B07,S2_07,238,2,3576,15943,1086,2610,2490,13333,19519,8.17,TRUE
40,B08,S2_08,124,2,1944,17459,415,1476,1529,15983,19403,7.33,TRUE
42,B09,S2_09,59.7,2,1014,19496,193,804,821,18692,20510,8.29,TRUE
44,B10,S2_10,29.5,2,473,18617,90,407,383,18210,19090,8.97,TRUE
46,B11,S2_11,15.3,2,245,18748,35,220,210,18528,18993,6.76,TRUE
48,B12,S2_12,9.1,2,141,18226,22,93,119,18133,18367,8.9,TRUE
50,C01,S3_01,5220,2,17766,213,17549,207,217,6,17979,10.25,TRUE
52,C02,S3_02,3970,2,10470,372,10090,349,380,23,10842,8.27,TRUE
54,C03,S3_03,2990,2,16757,1429,15519,1169,1238,260,18186,18.66,TRUE
56,C04,S3_04,1958,2,14375,3358,11943,2305,2432,1053,17733,16.55,TRUE
58,C05,S3_05,986,2,10517,8017,6786,3512,3731,4505,18534,16.6,TRUE
60,C06,S3_06,472,2,6517,13210,3217,3293,3300,9917,19727,16.54,TRUE
62,C07,S3_07,237,2,3351,15009,1388,1954,1963,13055,18360,18.01,TRUE
64,C08,S3_08,112,2,1703,17001,607,1159,1096,15842,18704,17.2,TRUE
66,C09,S3_09,57.5,2,928,18517,297,629,631,17888,19445,17.02,TRUE
68,C10,S3_10,30.7,2,486,18359,162,324,324,18035,18845,18.86,TRUE
70,C11,S3_11,15.9,2,260,19153,87,174,173,18979,19413,19.34,TRUE
72,C12,S3_12,7.2,2,108,17600,30,76,78,17524,17708,15.62,TRUE
74,D01,S4_01,5250,2,15681,183,15533,163,148,20,15864,34.96,TRUE
76,D02,S4_02,4360,2,17721,447,17279,388,442,59,18168,27.33,TRUE
78,D03,S4_03,3050,2,18095,1468,16946,1120,1149,348,19563,28.06,TRUE
80,D04,S4_04,1993,2,15087,3396,13083,2053,2004,1343,18483,29.79,TRUE
82,D05,S4_05,990,2,10292,7801,7356,2889,2936,4912,18093,28.59,TRUE
84,D06,S4_06,485,2,6642,13014,3941,2607,2701,10407,19656,28.56,TRUE
86,D07,S4_07,248,2,3555,15132,1865,1703,1690,13429,18687,27.99,TRUE
88,D08,S4_08,118,2,1826,17298,894,994,932,16304,19124,28.04,TRUE
90,D09,S4_09,57.2,2,954,19144,430,530,524,18614,20098,27.18,TRUE
92,D10,S4_10,28.6,2,447,18147,222,269,225,17878,18594,30.11,TRUE
94,D11,S4_11,14.9,2,242,18982,100,127,142,18855,19224,26.54,TRUE
96,D12,S4_12,8,2,122,17889,42,64,80,17825,18011,21.94,TRUE
98,E01,S5_01,5390,2,17750,184,17560,146,190,38,17934,45.28,TRUE
100,E02,S5_02,4190,2,17819,522,17392,382,427,140,18341,44.32,TRUE
102,E03,S5_03,3100,2,17358,1339,16462,876,896,463,18697,42.17,TRUE
104,E04,S5_04,2024,2,14989,3269,13382,1622,1607,1647,18258,43.2,TRUE
106,E05,S5_05,1019,2,10381,7539,8075,2216,2306,5323,17920,41.68,TRUE
108,E06,S5_06,491,2,6692,12922,4642,2040,2050,10882,19614,41.54,TRUE
110,E07,S5_07,244,2,3643,15803,2280,1233,1363,14570,19446,40.88,TRUE
112,E08,S5_08,118,2,1853,17536,1146,677,707,16859,19389,42.45,TRUE
114,E09,S5_09,61.6,2,994,18493,577,375,417,18118,19487,40.62,TRUE
116,E10,S5_10,29.4,2,481,18995,292,216,189,18779,19476,41.08,TRUE
118,E11,S5_11,15.2,2,227,17428,128,103,99,17325,17655,38.37,TRUE
120,E12,S5_12,8.3,2,137,19357,65,39,72,19318,19494,36.46,TRUE
122,F01,S6_01,5380,2,18327,192,18171,128,156,64,18519,58.83,TRUE
124,F02,S6_02,4230,2,18138,513,17816,295,322,218,18651,60.38,TRUE
126,F03,S6_03,3120,2,17428,1325,16710,619,718,706,18753,59.41,TRUE
128,F04,S6_04,2018,2,14847,3258,13618,1148,1229,2110,18105,58.44,TRUE
130,F05,S6_05,995,2,10727,8066,9071,1523,1656,6543,18793,58.78,TRUE
132,F06,S6_06,502,2,6283,11817,4969,1158,1314,10659,18100,58.57,TRUE
134,F07,S6_07,253,2,3778,15753,2884,814,894,14939,19531,58.52,TRUE
136,F08,S6_08,118,2,1799,17056,1378,458,421,16598,18855,58.99,TRUE
138,F09,S6_09,57.4,2,897,17949,642,241,255,17708,18846,55.31,TRUE
140,F10,S6_10,29.9,2,463,17970,330,112,133,17858,18433,56.85,TRUE
142,F11,S6_11,16.8,2,254,17682,188,64,66,17618,17936,58.72,TRUE
144,F12,S6_12,8.2,2,131,18775,96,35,35,18740,18906,57.5,TRUE
146,G01,S7_01,5150,2,18160,231,18054,78,106,153,18391,80.41,TRUE
148,G02,S7_02,4090,2,17449,556,17242,173,207,383,18005,79.1,TRUE
150,G03,S7_03,2990,2,16901,1449,16525,358,376,1091,18350,79.45,TRUE
152,G04,S7_04,2005,2,14954,3325,14335,566,619,2759,18279,79.43,TRUE
154,G05,S7_05,978,2,10661,8220,9885,724,776,7496,18881,79.36,TRUE
156,G06,S7_06,483,2,6540,12868,5934,565,606,12303,19408,79.6,TRUE
158,G07,S7_07,247,2,3535,15131,3172,270,363,14861,18666,81.52,TRUE
160,G08,S7_08,117,2,1931,18456,1729,202,202,18254,20387,80.08,TRUE
162,G09,S7_09,60.9,2,975,18354,855,102,120,18252,19329,78.85,TRUE
164,G10,S7_10,28.2,2,459,18889,408,47,51,18842,19348,80.37,TRUE
166,G11,S7_11,14.7,2,241,19152,211,26,30,19126,19393,78.83,TRUE
168,G12,S7_12,8.4,2,123,17213,102,12,21,17201,17336,75.38,TRUE
170,H01,S8_01,5080,2,17918,242,17883,17,35,225,18160,95.05,TRUE
172,H02,S8_02,4020,2,17349,586,17297,23,52,563,17935,96.29,TRUE
174,H03,S8_03,2930,2,16682,1512,16599,22,83,1490,18194,97.25,TRUE
176,H04,S8_04,2006,2,16117,3579,16001,30,116,3549,19696,97.63,TRUE
178,H05,S8_05,1004,2,11138,8265,11011,51,127,8214,19403,97.5,TRUE
180,H06,S8_06,494,2,6601,12660,6506,27,95,12633,19261,97.72,TRUE
182,H07,S8_07,254,2,3666,15209,3610,20,56,15189,18875,97.7,TRUE
184,H08,S8_08,121,2,1856,17061,1830,13,26,17048,18917,97.8,TRUE
186,H09,S8_09,60.8,2,965,18197,949,12,16,18185,19162,97.06,TRUE
188,H10,S8_10,33,2,543,19060,527,5,16,19055,19603,96.11,TRUE
190,H11,S8_11,15,2,253,19668,247,2,6,19666,19921,96.84,TRUE
192,H12,S8_12,8,2,123,18080,116,3,7,18077,18203,92.01,TRUE
