Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
C02,Absolute Quantification,ABS,S3_02,Ch2Unknown,2,Multi,4460,ddPCR Supermix for Probes (no dUTP),89200,,,4570,4350,19011,440,18566,404,445,36,1410,19451,,,,,,,,0.976,,,1.01,0.943,49.4,,,50.3,48.6,1,1,0,9618.4,2406.4,9455.3,,,,,4510,4400,,,,,,,0.993,0.959,,,49.84,48.97
C03,Absolute Quantification,ABS,S3_03,Ch1Unknown,1,Multi,3160,ddPCR Supermix for Probes (no dUTP),63200,,,3220,3100,16846,1234,15827,1019,1058,176,905,18080,,,,,,,,0.988,,,1.016,0.96,49.7,,,50.4,49,1,1,0,9613,1308.4,9046.2,,,,,3191,3126,,,,,,,1.003,0.974,,,50.07,49.34
C03,Absolute Quantification,ABS,S3_03,Ch2Unknown,2,Multi,3200,ddPCR Supermix for Probes (no dUTP),64000,,,3260,3130,16885,1195,15827,1019,1058,176,905,18080,,,,,,,,0.988,,,1.016,0.96,49.7,,,50.4,49,1,1,0,9514.7,2344.2,9040.7,,,,,3229,3164,,,,,,,1.003,0.974,,,50.07,49.34
C04,Absolute Quantification,ABS,S3_04,Ch1Unknown,1,Multi,2089,ddPCR Supermix for Probes (no dUTP),41780,,,2127,2053,15788,3218,13556,2232,2270,948,666,19006,,,,,,,,0.993,,,1.018,0.968,49.8,,,50.5,49.2,1,1,0,9680,1308.4,8262.5,,,,,2108,2071,,,,,,,1.006,0.981,,,50.15,49.51
C04,Absolute Quantification,ABS,S3_04,Ch2Unknown,2,Multi,2103,ddPCR Supermix for Probes (no dUTP),42060,,,2141,2067,15826,3180,13556,2232,2270,948,666,19006,,,,,,,,0.993,,,1.018,0.968,49.8,,,50.5,49.2,1,1,0,9578.7,2293.5,8359.7,,,,,2123,2084,,,,,,,1.006,0.981,,,50.15,49.51
C05,Absolute Quantification,ABS,S3_05,Ch1Unknown,1,Multi,1035,ddPCR Supermix for Probes (no dUTP),20700,,,1055,1016,11395,8076,7795,3600,3784,4292,319,19471,,,,,,,,0.974,,,1.001,0.948,49.4,,,50,48.7,1,1,0,9737,1265.6,6223.3,,,,,1045,1025,,,,,,,0.988,0.961,,,49.69,49.01
C05,Absolute Quantification,ABS,S3_05,Ch2Unknown,2,Multi,1062,ddPCR Supermix for Probes (no dUTP),21240,,,1083,1043,11579,7892,7795,3600,3784,4292,319,19471,,,,,,,,0.974,,,1.001,0.948,49.4,,,50,48.7,1,1,0,9411.3,2138.3,6463.4,,,,,1073,1052,,,,,,,0.988,0.961,,,49.69,49.01
C06,Absolute Quantification,ABS,S3_06,Ch1Unknown,1,Multi,520,ddPCR Supermix for Probes (no dUTP),10400,,,532,507,6635,11944,3484,3151,3218,8726,157,18579,,,,,,,,0.987,,,1.021,0.954,49.7,,,50.5,48.8,1,1,0,9936.1,1246.3,4349.6,,,,,526,513,,,,,,,1.005,0.97,,,50.12,49.25
C06,Absolute Quantification,ABS,S3_06,Ch2Unknown,2,Multi,526,ddPCR Supermix for Probes (no dUTP),10520,,,539,514,6702,11877,3484,3151,3218,8726,157,18579,,,,,,,,0.987,,,1.021,0.954,49.7,,,50.5,48.8,1,1,0,9360.7,2042,4682,,,,,533,520,,,,,,,1.005,0.97,,,50.12,49.25
C07,Absolute Quantification,ABS,S3_07,Ch1Unknown,1,Multi,262,ddPCR Supermix for Probes (no dUTP),5240,,,271,254,3793,15178,1576,2217,2240,12938,76.4,18971,,,,,,,,0.993,,,1.038,0.949,49.8,,,51,48.7,1,1,0,10166,1256.3,3037.7,,,,,266.7,258.2,,,,,,,1.016,0.97,,,50.4,49.3
C07,Absolute Quantification,ABS,S3_07,Ch2Unknown,2,Multi,264,ddPCR Supermix for Probes (no dUTP),5280,,,273,256,3816,15155,1576,2217,2240,12938,76.4,18971,,,,,,,,0.993,,,1.038,0.949,49.8,,,51,48.7,1,1,0,9431.2,2003.3,3497.4,,,,,268.5,259.9,,,,,,,1.016,0.97,,,50.4,49.3
C08,Absolute Quantification,ABS,S3_08,Ch1Unknown,1,Multi,126,ddPCR Supermix for Probes (no dUTP),2520,,,131,120,2018,17895,700,1318,1393,16502,35.3,19913,,,,,,,,0.96,,,1.02,0.9,49,,,50.6,47.5,1,1,0,10101,1230.4,2129.3,,,,,128.5,122.9,,,,,,,0.992,0.932,,,49.8,48.3
