Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
H05,Absolute Quantification,ABS,S08_4,Ch1Unknown,1,Multi,11.8,ddPCR Supermix for Probes (no dUTP),236,,,13.4,10.3,219,21679,195,24,1677,20002,10.4,21898,,,,,,,,0.112,,,0.128,0.097,10.1,,,11.4,8.8,1,1,0,11147,4131.7,4201.8,,,,,12.6,11,,,,,,,0.121,0.104,,,10.8,9.5
H05,Absolute Quantification,ABS,S08_4,Ch2Unknown,2,Multi,105.1,ddPCR Supermix for Probes (no dUTP),2102,,,109.9,100.4,1872,20026,195,24,1677,20002,10.4,21898,,,,,,,,0.112,,,0.128,0.097,10.1,,,11.4,8.8,1,1,0,8389.1,1252,1862.2,,,,,107.6,102.7,,,,,,,0.121,0.104,,,10.8,9.5
A06,Absolute Quantification,ABS,S09_1,Ch1Unknown,1,Multi,77.3,ddPCR Supermix for Probes (no dUTP),1546,,,81.4,73.2,1365,20094,1297,68,8613,11481,70.4,21459,,,,,,,,0.106,,,0.112,0.1,9.59,,,10.08,9.1,1,1,0,10148,3848.3,4249,,,,,79.4,75.2,,,,,,,0.1092,0.103,,,9.84,9.34
A06,Absolute Quantification,ABS,S09_1,Ch2Unknown,2,Multi,729,ddPCR Supermix for Probes (no dUTP),14580,,,744,714,9910,11549,1297,68,8613,11481,70.4,21459,,,,,,,,0.106,,,0.112,0.1,9.59,,,10.08,9.1,1,1,0,7503.9,1117.3,4066.7,,,,,736,721,,,,,,,0.1092,0.103,,,9.84,9.34
B06,Absolute Quantification,ABS,S09_2,Ch1Unknown,1,Multi,43.2,ddPCR Supermix for Probes (no dUTP),864,,,46.3,40.1,735,19665,677,58,5069,14596,38.5,20400,,,,,,,,0.111,,,0.119,0.102,10,,,10.7,9.3,1,1,0,10332,3875.3,4107.9,,,,,44.8,41.6,,,,,,,0.1153,0.1066,,,10.34,9.63
B06,Absolute Quantification,ABS,S09_2,Ch2Unknown,2,Multi,389,ddPCR Supermix for Probes (no dUTP),7780,,,399,379,5746,14654,677,58,5069,14596,38.5,20400,,,,,,,,0.111,,,0.119,0.102,10,,,10.7,9.3,1,1,0,7771.6,1131.7,3002,,,,,394,384,,,,,,,0.1153,0.1066,,,10.34,9.63
C06,Absolute Quantification,ABS,S09_3,Ch1Unknown,1,Multi,19.5,ddPCR Supermix for Probes (no dUTP),390,,,21.5,17.5,366,21864,336,30,2969,18895,17.7,22230,,,,,,,,0.103,,,0.114,0.092,9.3,,,10.3,8.4,1,1,0,10742,4007.3,4118.2,,,,,20.6,18.5,,,,,,,0.109,0.097,,,9.82,8.88
C06,Absolute Quantification,ABS,S09_3,Ch2Unknown,2,Multi,189,ddPCR Supermix for Probes (no dUTP),3780,,,196,183,3305,18925,336,30,2969,18895,17.7,22230,,,,,,,,0.103,,,0.114,0.092,9.3,,,10.3,8.4,1,1,0,8062.5,1190.3,2212.1,,,,,192.7,186.1,,,,,,,0.109,0.097,,,9.82,8.88
D06,Absolute Quantification,ABS,S09_4,Ch1Unknown,1,Multi,11.4,ddPCR Supermix for Probes (no dUTP),228,,,12.9,9.9,222,22823,204,18,1689,21134,10.4,23045,,,,,,,,0.113,,,0.129,0.097,10.1,,,11.4,8.9,1,1,0,10819,4020.1,4085.6,,,,,12.2,10.6,,,,,,,0.121,0.105,,,10.8,9.5
D06,Absolute Quantification,ABS,S09_4,Ch2Unknown,2,Multi,100.8,ddPCR Supermix for Probes (no dUTP),2016,,,105.4,96.3,1893,21152,204,18,1689,21134,10.4,23045,,,,,,,,0.113,,,0.129,0.097,10.1,,,11.4,8.9,1,1,0,8059.8,1200.1,1763.6,,,,,103.2,98.5,,,,,,,0.121,0.105,,,10.8,9.5
E06,Absolute Quantification,ABS,S10_1,Ch1Unknown,1,Multi,88.9,ddPCR Supermix for Probes (no dUTP),1778,,,93.5,84.2,1413,18010,1344,69,8021,9989,80.8,19423,,,,,,,,0.115,,,0.121,0.108,10.3,,,10.8,9.8,1,1,0,10274,3939.4,4400.2,,,,,91.2,86.5,,,,,,,0.1181,0.1115,,,10.56,10.03
E06,Absolute Quantification,ABS,S10_1,Ch2Unknown,2,Multi,774,ddPCR Supermix for Probes (no dUTP),15480,,,790,758,9365,10058,1344,69,8021,9989,80.8,19423,,,,,,,,0.115,,,0.121,0.108,10.3,,,10.8,9.8,1,1,0,7560.7,1152.2,4242.1,,,,,782,766,,,,,,,0.1181,0.1115,,,10.56,10.03
F06,Absolute Quantification,ABS,S10_2,Ch1Unknown,1,Multi,39.7,ddPCR Supermix for Probes (no dUTP),794,,,42.7,36.8,707,20579,660,47,5485,15094,36.1,21286,,,,,,,,0.099,,,0.107,0.091,9,,,9.7,8.4,1,1,0,10795,4068.8,4292.2,,,,,41.2,38.2,,,,,,,0.1031,0.0952,,,9.35,8.7
F06,Absolute Quantification,ABS,S10_2,Ch2Unknown,2,Multi,401,ddPCR Supermix for Probes (no dUTP),8020,,,411,391,6145,15141,660,47,5485,15094,36.1,21286,,,,,,,,0.099,,,0.107,0.091,9,,,9.7,8.4,1,1,0,8110.8,1207.6,3200.5,,,,,406,396,,,,,,,0.1031,0.0952,,,9.35,8.7
G06,Absolute Quantification,ABS,S10_3,Ch1Unknown,1,Multi,21.1,ddPCR Supermix for Probes (no dUTP),422,,,23.3,19,385,21234,357,28,3095,18139,19.3,21619,,,,,,,,0.103,,,0.114,0.092,9.4,,,10.3,8.5,1,1,0,10994,4129.3,4251.5,,,,,22.2,20.1,,,,,,,0.109,0.098,,,9.82,8.91
G06,Absolute Quantification,ABS,S10_3,Ch2Unknown,2,Multi,205,ddPCR Supermix for Probes (no dUTP),4100,,,212,198,3452,18167,357,28,3095,18139,19.3,21619,,,,,,,,0.103,,,0.114,0.092,9.4,,,10.3,8.5,1,1,0,8255.7,1240.1,2360.3,,,,,208.2,201.2,,,,,,,0.109,0.098,,,9.82,8.91
H06,Absolute Quantification,ABS,S10_4,Ch1Unknown,1,Multi,11.7,ddPCR Supermix for Probes (no dUTP),234,,,13.2,10.1,211,21191,193,18,1612,19579,10.6,21402,,,,,,,,0.112,,,0.128,0.096,10.1,,,11.4,8.8,1,1,0,11140,4167.3,4236.1,,,,,12.5,10.9,,,,,,,0.121,0.104,,,10.8,9.4
H06,Absolute Quantification,ABS,S10_4,Ch2Unknown,2,Multi,103.7,ddPCR Supermix for Probes (no dUTP),2074,,,108.4,98.9,1805,19597,193,18,1612,19579,10.6,21402,,,,,,,,0.112,,,0.128,0.096,10.1,,,11.4,8.8,1,1,0,8318,1257.6,1853.1,,,,,106.1,101.2,,,,,,,0.121,0.104,,,10.8,9.4
A07,Absolute Quantification,ABS,S11_1,Ch1Unknown,1,Multi,75.8,ddPCR Supermix for Probes (no dUTP),1516,,,79.8,71.8,1382,20770,1325,57,8761,12009,70.2,22152,,,,,,,,0.106,,,0.112,0.1,9.59,,,10.07,9.1,1,1,0,10034,3816.9,4204.8,,,,,77.8,73.7,,,,,,,0.1091,0.103,,,9.84,9.34
A07,Absolute Quantification,ABS,S11_1,Ch2Unknown,2,Multi,715,ddPCR Supermix for Probes (no dUTP),14300,,,729,701,10086,12066,1325,57,8761,12009,70.2,22152,,,,,,,,0.106,,,0.112,0.1,9.59,,,10.07,9.1,1,1,0,7417,1112.6,3983,,,,,722,708,,,,,,,0.1091,0.103,,,9.84,9.34
B07,Absolute Quantification,ABS,S11_2,Ch1Unknown,1,Multi,43.8,ddPCR Supermix for Probes (no dUTP),876,,,46.9,40.7,763,20120,721,42,5309,14811,40.5,20883,,,,,,,,0.109,,,0.117,0.101,9.8,,,10.5,9.2,1,1,0,10696,4025.8,4269.5,,,,,45.4,42.2,,,,,,,0.1134,0.105,,,10.19,9.51
B07,Absolute Quantification,ABS,S11_2,Ch2Unknown,2,Multi,401,ddPCR Supermix for Probes (no dUTP),8020,,,411,391,6030,14853,721,42,5309,14811,40.5,20883,,,,,,,,0.109,,,0.117,0.101,9.8,,,10.5,9.2,1,1,0,8056.8,1190.2,3173,,,,,406,396,,,,,,,0.1134,0.105,,,10.19,9.51
C07,Absolute Quantification,ABS,S11_3,Ch1Unknown,1,Multi,22.4,ddPCR Supermix for Probes (no dUTP),448,,,24.6,20.2,409,21271,381,28,3028,18243,20.6,21680,,,,,,,,0.111,,,0.123,0.1,10,,,10.9,9.1,1,1,0,10923,4108,4236.6,,,,,23.5,21.3,,,,,,,0.117,0.106,,,10.49,9.55
C07,Absolute Quantification,ABS,S11_3,Ch2Unknown,2,Multi,201,ddPCR Supermix for Probes (no dUTP),4020,,,208,195,3409,18271,381,28,3028,18243,20.6,21680,,,,,,,,0.111,,,0.123,0.1,10,,,10.9,9.1,1,1,0,8201.2,1221.7,2319.1,,,,,204.7,197.8,,,,,,,0.117,0.106,,,10.49,9.55
D07,Absolute Quantification,ABS,S11_4,Ch1Unknown,1,Multi,11.6,ddPCR Supermix for Probes (no dUTP),232,,,13.2,10.1,213,21453,196,17,1595,19858,10.6,21666,,,,,,,,0.115,,,0.131,0.098,10.3,,,11.6,9,1,1,0,10981,4112.4,4180,,,,,12.4,10.8,,,,,,,0.123,0.106,,,10.9,9.6
D07,Absolute Quantification,ABS,S11_4,Ch2Unknown,2,Multi,101.5,ddPCR Supermix for Probes (no dUTP),2030,,,106.2,96.8,1791,19875,196,17,1595,19858,10.6,21666,,,,,,,,0.115,,,0.131,0.098,10.3,,,11.6,9,1,1,0,8235.6,1239.4,1817.7,,,,,103.9,99.1,,,,,,,0.123,0.106,,,10.9,9.6
E07,Absolute Quantification,ABS,S12_1,Ch1Unknown,1,Multi,81.8,ddPCR Supermix for Probes (no dUTP),1636,,,86,77.6,1467,20373,1398,69,9176,11197,74.6,21840,,,,,,,,0.105,,,0.111,0.099,9.51,,,9.98,9.03,1,1,0,10376,3980,4409.6,,,,,83.9,79.7,,,,,,,0.108,0.1021,,,9.75,9.27
E07,Absolute Quantification,ABS,S12_1,Ch2Unknown,2,Multi,779,ddPCR Supermix for Probes (no dUTP),15580,,,794,764,10574,11266,1398,69,9176,11197,74.6,21840,,,,,,,,0.105,,,0.111,0.099,9.51,,,9.98,9.03,1,1,0,7654.7,1169.8,4309.5,,,,,787,771,,,,,,,0.108,0.1021,,,9.75,9.27
F07,Absolute Quantification,ABS,S12_2,Ch1Unknown,1,Multi,44.2,ddPCR Supermix for Probes (no dUTP),884,,,47.3,41.1,777,20299,728,49,5481,14818,40.3,21076,,,,,,,,0.108,,,0.116,0.1,9.7,,,10.4,9.1,1,1,0,10850,4105.6,4354.2,,,,,45.8,42.6,,,,,,,0.1117,0.1035,,,10.05,9.38
F07,Absolute Quantification,ABS,S12_2,Ch2Unknown,2,Multi,411,ddPCR Supermix for Probes (no dUTP),8220,,,421,400,6209,14867,728,49,5481,14818,40.3,21076,,,,,,,,0.108,,,0.116,0.1,9.7,,,10.4,9.1,1,1,0,8101.7,1214.1,3243.2,,,,,416,405,,,,,,,0.1117,0.1035,,,10.05,9.38
G07,Absolute Quantification,ABS,S12_3,Ch1Unknown,1,Multi,23.5,ddPCR Supermix for Probes (no dUTP),470,,,25.8,21.3,408,20194,372,36,3058,17136,21.1,20602,,,,,,,,0.11,,,0.121,0.099,9.9,,,10.8,9,1,1,0,11025,4148.6,4284.8,,,,,24.7,22.4,,,,,,,0.116,0.104,,,10.36,9.43
G07,Absolute Quantification,ABS,S12_3,Ch2Unknown,2,Multi,214,ddPCR Supermix for Probes (no dUTP),4280,,,221,207,3430,17172,372,36,3058,17136,21.1,20602,,,,,,,,0.11,,,0.121,0.099,9.9,,,10.8,9,1,1,0,8245.8,1240,2406.4,,,,,217.9,210.6,,,,,,,0.116,0.104,,,10.36,9.43
H07,Absolute Quantification,ABS,S12_4,Ch1Unknown,1,Multi,11.7,ddPCR Supermix for Probes (no dUTP),234,,,13.4,10.1,197,19677,174,23,1513,18164,10.2,19874,,,,,,,,0.112,,,0.129,0.096,10.1,,,11.4,8.8,1,1,0,11108,4187.6,4256.2,,,,,12.6,10.9,,,,,,,0.121,0.104,,,10.8,9.4
H07,Absolute Quantification,ABS,S12_4,Ch2Unknown,2,Multi,104.4,ddPCR Supermix for Probes (no dUTP),2088,,,109.4,99.4,1687,18187,174,23,1513,18164,10.2,19874,,,,,,,,0.112,,,0.129,0.096,10.1,,,11.4,8.8,1,1,0,8366.4,1272.7,1874.8,,,,,106.9,101.8,,,,,,,0.121,0.104,,,10.8,9.4
