Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
D03,Absolute Quantification,ABS,S03_4,Ch2Unknown,2,Multi,62.9,ddPCR Supermix for Probes (no dUTP),1258,,,66.7,59.1,1041,18960,421,62,620,18898,24.9,20001,,,,,,,,0.457,,,0.507,0.408,31.4,,,33.7,29.1,1,1,0,8025.6,1155.3,1512.9,,,,,64.8,60.9,,,,,,,0.483,0.432,,,32.6,30.2
E03,Absolute Quantification,ABS,S04_1,Ch1Unknown,1,Multi,100.8,ddPCR Supermix for Probes (no dUTP),2016,,,105.5,96.1,1775,19843,1649,126,5749,14094,90.3,21618,,,,,,,,0.205,,,0.215,0.194,17,,,17.7,16.2,1,1,0,9966.1,3576.1,4100.7,,,,,103.2,98.4,,,,,,,0.21,0.199,,,17.35,16.61
E03,Absolute Quantification,ABS,S04_1,Ch2Unknown,2,Multi,493,ddPCR Supermix for Probes (no dUTP),9860,,,504,482,7398,14220,1649,126,5749,14094,90.3,21618,,,,,,,,0.205,,,0.215,0.194,17,,,17.7,16.2,1,1,0,7536.7,1079.9,3289.5,,,,,499,487,,,,,,,0.21,0.199,,,17.35,16.61
F03,Absolute Quantification,ABS,S04_2,Ch1Unknown,1,Multi,55.8,ddPCR Supermix for Probes (no dUTP),1116,,,59.4,52.3,961,19774,892,69,3379,16395,50.9,20735,,,,,,,,0.206,,,0.22,0.191,17.1,,,18.1,16.1,1,1,0,10430,3728.8,4039.4,,,,,57.6,54,,,,,,,0.213,0.198,,,17.6,16.6
F03,Absolute Quantification,ABS,S04_2,Ch2Unknown,2,Multi,271,ddPCR Supermix for Probes (no dUTP),5420,,,280,263,4271,16464,892,69,3379,16395,50.9,20735,,,,,,,,0.206,,,0.22,0.191,17.1,,,18.1,16.1,1,1,0,7991.3,1146.1,2556.1,,,,,275.5,267.2,,,,,,,0.213,0.198,,,17.6,16.6
G03,Absolute Quantification,ABS,S04_3,Ch1Unknown,1,Multi,27.9,ddPCR Supermix for Probes (no dUTP),558,,,30.4,25.3,463,19320,411,52,1704,17616,24.4,19783,,,,,,,,0.209,,,0.231,0.188,17.3,,,18.8,15.9,1,1,0,10535,3780.8,3938.9,,,,,29.2,26.6,,,,,,,0.22,0.199,,,18.1,16.6
G03,Absolute Quantification,ABS,S04_3,Ch2Unknown,2,Multi,133,ddPCR Supermix for Probes (no dUTP),2660,,,139,127,2115,17668,411,52,1704,17616,24.4,19783,,,,,,,,0.209,,,0.231,0.188,17.3,,,18.8,15.9,1,1,0,8063.2,1176.9,1913.1,,,,,135.9,130.1,,,,,,,0.22,0.199,,,18.1,16.6
H03,Absolute Quantification,ABS,S04_4,Ch1Unknown,1,Multi,14.9,ddPCR Supermix for Probes (no dUTP),298,,,16.7,13.2,268,20962,243,25,1004,19958,13.5,21230,,,,,,,,0.21,,,0.238,0.182,17.3,,,19.2,15.5,1,1,0,10528,3751.9,3837.4,,,,,15.9,14,,,,,,,0.224,0.196,,,18.3,16.4
H03,Absolute Quantification,ABS,S04_4,Ch2Unknown,2,Multi,71.2,ddPCR Supermix for Probes (no dUTP),1424,,,75.2,67.3,1247,19983,243,25,1004,19958,13.5,21230,,,,,,,,0.21,,,0.238,0.182,17.3,,,19.2,15.5,1,1,0,8066.5,1168.3,1573.5,,,,,73.2,69.2,,,,,,,0.224,0.196,,,18.3,16.4
A04,Absolute Quantification,ABS,S05_1,Ch1Unknown,1,Multi,56.4,ddPCR Supermix for Probes (no dUTP),1128,,,59.9,53,1002,20389,942,60,6655,13734,51.3,21391,,,,,,,,0.109,,,0.117,0.102,9.9,,,10.4,9.3,1,1,0,9852.2,3561.6,3856.3,,,,,58.2,54.7,,,,,,,0.113,0.1057,,,10.16,9.56
A04,Absolute Quantification,ABS,S05_1,Ch2Unknown,2,Multi,516,ddPCR Supermix for Probes (no dUTP),10320,,,528,505,7597,13794,942,60,6655,13734,51.3,21391,,,,,,,,0.109,,,0.117,0.102,9.9,,,10.4,9.3,1,1,0,7509.3,1077.8,3362,,,,,522,510,,,,,,,0.113,0.1057,,,10.16,9.56
