Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
F10,Absolute Quantification,ABS,S6_10,Ch1Unknown,2,Manual,2.3,ddPCR Supermix for Probes (no dUTP),46,,,3.2,1.6,34,17339,29,5,439,16900,1.96,17373,,,,,,,,0.072,,,0.097,0.047,6.7,,,8.9,4.5,1,1,6490,11096,4282.2,4295.5,,,,,2.72,1.93,,,,,,,0.084,0.059,,,7.8,5.6
F10,Absolute Quantification,ABS,S6_10,Ch2Unknown,1,Manual,32.1,ddPCR Supermix for Probes (no dUTP),642,,,35,29.2,468,16905,29,5,439,16900,1.96,17373,,,,,,,,0.072,,,0.097,0.047,6.7,,,8.9,4.5,1,1,4129,8750.9,2349.8,2522.2,,,,,33.6,30.6,,,,,,,0.084,0.059,,,7.8,5.6
F11,Absolute Quantification,ABS,S6_11,Ch1Unknown,2,Manual,1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.4,1.1,27,19054,23,4,240,18814,1.42,19081,,,,,,,,0.102,,,0.143,0.061,9.3,,,12.6,5.9,1,1,6490,11062,4320.5,4330.1,,,,,2.01,1.37,,,,,,,0.123,0.081,,,11,7.6
F11,Absolute Quantification,ABS,S6_11,Ch2Unknown,1,Manual,16.3,ddPCR Supermix for Probes (no dUTP),326,,,18.3,14.4,263,18818,23,4,240,18814,1.42,19081,,,,,,,,0.102,,,0.143,0.061,9.3,,,12.6,5.9,1,1,4129,8777.2,2391.7,2479.7,,,,,17.3,15.3,,,,,,,0.123,0.081,,,11,7.6
F12,Absolute Quantification,ABS,S6_12,Ch1Unknown,2,Manual,0.52,ddPCR Supermix for Probes (no dUTP),10.4,,,0.97,0.24,8,18089,7,1,107,17982,0.455,18097,,,,,,,,0.07,,,0.12,0.02,6.5,,,11,2.1,1,1,6490,11174,4344.2,4347.3,,,,,0.73,0.36,,,,,,,0.096,0.044,,,8.8,4.3
F12,Absolute Quantification,ABS,S6_12,Ch2Unknown,1,Manual,7.4,ddPCR Supermix for Probes (no dUTP),148,,,8.8,6.1,114,17983,7,1,107,17982,0.455,18097,,,,,,,,0.07,,,0.12,0.02,6.5,,,11,2.1,1,1,4129,8825.2,2394.6,2435.1,,,,,8.1,6.7,,,,,,,0.096,0.044,,,8.8,4.3
G01,Absolute Quantification,ABS,S7_01,Ch1Unknown,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19784,0,0,19408,376,0,19784,,,,,,,,,,,,,,,,,,1,1,6490,0,4042.4,4042.4,,,,,0.081,0,,,,,,,,,,,,
G01,Absolute Quantification,ABS,S7_01,Ch2Unknown,1,Manual,4660,ddPCR Supermix for Probes (no dUTP),93200,,,4790,4550,19408,376,0,0,19408,376,0,19784,,,,,,,,,,,,,,,,,,1,1,4129,8829.9,2156.4,8703.1,,,,,4720,4600,,,,,,,,,,,,
G02,Absolute Quantification,ABS,S7_02,Ch1Unknown,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.2,0,0,17684,0,0,16947,737,0,17684,,,,,,,,,,,,,,,,,,1,1,6490,0,4097.1,4097.1,,,,,0.091,0,,,,,,,,,,,,
G02,Absolute Quantification,ABS,S7_02,Ch2Unknown,1,Manual,3740,ddPCR Supermix for Probes (no dUTP),74800,,,3820,3660,16947,737,0,0,16947,737,0,17684,,,,,,,,,,,,,,,,,,1,1,4129,8799.5,2170.5,8523.2,,,,,3782,3697,,,,,,,,,,,,
G03,Absolute Quantification,ABS,S7_03,Ch1Unknown,2,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.28,0,1,20228,1,0,18465,1763,0.0582,20229,,,,,,,,2.00E-05,,,6.80E-05,0,0.002,,,0.0068,0,1,1,6490,11119,4176.8,4177.1,,,,,0.14,0.02,,,,,,,4.30E-05,0,,,0.0043,0
G03,Absolute Quantification,ABS,S7_03,Ch2Unknown,1,Manual,2870,ddPCR Supermix for Probes (no dUTP),57400,,,2920,2820,18466,1763,1,0,18465,1763,0.0582,20229,,,,,,,,2.00E-05,,,6.80E-05,0,0.002,,,0.0068,0,1,1,4129,8786.8,2215,8214,,,,,2898,2844,,,,,,,4.30E-05,0,,,0.0043,0
G04,Absolute Quantification,ABS,S7_04,Ch1Unknown,2,Manual,0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.33,0,1,16785,1,0,13580,3205,0.0701,16786,,,,,,,,4.00E-05,,,0.00012,0,0.004,,,0.012,0,1,1,6490,10691,4254.1,4254.5,,,,,0.17,0.02,,,,,,,7.60E-05,0,,,0.0076,0
G04,Absolute Quantification,ABS,S7_04,Ch2Unknown,1,Manual,1948,ddPCR Supermix for Probes (no dUTP),38960,,,1985,1912,13581,3205,1,0,13580,3205,0.0701,16786,,,,,,,,4.00E-05,,,0.00012,0,0.004,,,0.012,0,1,1,4129,8846.4,2272.4,7591.2,,,,,1967,1929,,,,,,,7.60E-05,0,,,0.0076,0
G05,Absolute Quantification,ABS,S7_05,Ch1Unknown,2,Manual,0.07,ddPCR Supermix for Probes (no dUTP),1.4,,,0.33,0,1,16810,1,0,9412,7398,0.07,16811,,,,,,,,7.00E-05,,,0.00024,0,0.007,,,0.024,0,1,1,6490,10843,4265.2,4265.6,,,,,0.17,0.02,,,,,,,0.00015,0,,,0.015,0
G05,Absolute Quantification,ABS,S7_05,Ch2Unknown,1,Manual,966,ddPCR Supermix for Probes (no dUTP),19320,,,986,946,9413,7398,1,0,9412,7398,0.07,16811,,,,,,,,7.00E-05,,,0.00024,0,0.007,,,0.024,0,1,1,4129,8762.8,2302.3,5919.7,,,,,976,955,,,,,,,0.00015,0,,,0.015,0
G06,Absolute Quantification,ABS,S7_06,Ch1Unknown,2,Manual,0.13,ddPCR Supermix for Probes (no dUTP),2.6,,,0.43,0.02,2,17727,0,2,5930,11797,0,17729,,,,,,,,0.00028,,,0.0007,0,0.028,,,0.07,0,1,1,6490,9516.9,4260,4260.5,,,,,0.26,0.06,,,,,,,0.00048,7.00E-05,,,0.048,0.007
G06,Absolute Quantification,ABS,S7_06,Ch2Unknown,1,Manual,479,ddPCR Supermix for Probes (no dUTP),9580,,,491,467,5930,11799,0,2,5930,11797,0,17729,,,,,,,,0.00028,,,0.0007,0,0.028,,,0.07,0,1,1,4129,8709.2,2312.7,4452.2,,,,,485,473,,,,,,,0.00048,7.00E-05,,,0.048,0.007
G07,Absolute Quantification,ABS,S7_07,Ch1Unknown,2,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.31,0,1,18170,0,1,3402,14768,0,18171,,,,,,,,0.00027,,,0.00089,0,0.027,,,0.089,0,1,1,6490,10078,4236.4,4236.8,,,,,0.16,0.02,,,,,,,0.00056,0,,,0.056,0
G07,Absolute Quantification,ABS,S7_07,Ch2Unknown,1,Manual,244,ddPCR Supermix for Probes (no dUTP),4880,,,252,236,3402,14769,0,1,3402,14768,0,18171,,,,,,,,0.00027,,,0.00089,0,0.027,,,0.089,0,1,1,4129,8721.4,2329.1,3525.9,,,,,248.1,239.7,,,,,,,0.00056,0,,,0.056,0
G08,Absolute Quantification,ABS,S7_08,Ch1Unknown,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.22,0,0,16264,0,0,1556,14708,0,16264,,,,,,,,,,,,,,,,,,1,1,6490,0,4266.9,4266.9,,,,,0.099,0,,,,,,,,,,,,
G08,Absolute Quantification,ABS,S7_08,Ch2Unknown,1,Manual,118,ddPCR Supermix for Probes (no dUTP),2360,,,124,112,1556,14708,0,0,1556,14708,0,16264,,,,,,,,,,,,,,,,,,1,1,4129,8689.8,2338.6,2946.2,,,,,121.3,115.3,,,,,,,,,,,,
G09,Absolute Quantification,ABS,S7_09,Ch1Unknown,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19550,0,0,948,18602,0,19550,,,,,,,,,,,,,,,,,,1,1,6490,0,4283.3,4283.3,,,,,0.082,0,,,,,,,,,,,,
G09,Absolute Quantification,ABS,S7_09,Ch2Unknown,1,Manual,58.5,ddPCR Supermix for Probes (no dUTP),1170,,,62.2,54.8,948,18602,0,0,948,18602,0,19550,,,,,,,,,,,,,,,,,,1,1,4129,8745.9,2360.9,2670.5,,,,,60.4,56.6,,,,,,,,,,,,
G10,Absolute Quantification,ABS,S7_10,Ch1Unknown,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20326,0,0,522,19804,0,20326,,,,,,,,,,,,,,,,,,1,1,6490,0,4341.7,4341.7,,,,,0.079,0,,,,,,,,,,,,
G10,Absolute Quantification,ABS,S7_10,Ch2Unknown,1,Manual,30.6,ddPCR Supermix for Probes (no dUTP),612,,,33.2,28,522,19804,0,0,522,19804,0,20326,,,,,,,,,,,,,,,,,,1,1,4129,8813.4,2389.5,2554.5,,,,,31.9,29.3,,,,,,,,,,,,
G11,Absolute Quantification,ABS,S7_11,Ch1Unknown,2,Manual,0,ddPCR Supermix for Probes (no dUTP),0,,,0.2,0,0,18071,0,0,222,17849,0,18071,,,,,,,,,,,,,,,,,,1,1,6490,0,4321.1,4321.1,,,,,0.089,0,,,,,,,,,,,,
G11,Absolute Quantification,ABS,S7_11,Ch2Unknown,1,Manual,14.5,ddPCR Supermix for Probes (no dUTP),290,,,16.5,12.6,222,17849,0,0,222,17849,0,18071,,,,,,,,,,,,,,,,,,1,1,4129,8770.4,2401.6,2479.9,,,,,15.5,13.6,,,,,,,,,,,,
G12,Absolute Quantification,ABS,S7_12,Ch1Unknown,2,Manual,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.29,0,1,19179,0,1,122,19057,0,19180,,,,,,,,0.008,,,0.028,0,0.8,,,2.7,0,1,1,6490,8646,4369.9,4370.1,,,,,0.15,0.02,,,,,,,0.017,0,,,1.7,0
G12,Absolute Quantification,ABS,S7_12,Ch2Unknown,1,Manual,7.5,ddPCR Supermix for Probes (no dUTP),150,,,8.8,6.2,122,19058,0,1,122,19057,0,19180,,,,,,,,0.008,,,0.028,0,0.8,,,2.7,0,1,1,4129,8835.6,2417.3,2458.2,,,,,8.2,6.8,,,,,,,0.017,0,,,1.7,0
